artist	track	wks	t10	pk_rank	pk_streams	total_streams
BigDaddy	Yêu Nắm	17	0	26	389753	3843856
Noo Phước Thịnh	Thuong Em La Dieu Anh Khong The Ngo	130	4	4	37629	3825976
Tăng Duy Tân	Cắt Đôi Nỗi Sầu	17	0	15	400521	3822518
Masew	Lửng Lơ	41	0	135	160862	3817538
MIN	Có Em Chờ	26	0	139	179836	3806113
Vũ Cát Tường	Có Người	84	3	9	77684	3796467
Harry Styles	As It Was	52	0	29	112608	3775623
SIXTYUPTOWN	Girl Hà Nội (ft. Dangrangto, Lu, Rem)	21	0	95	257325	3773217
Bích Phương	Nâng Chén Tiêu Sầu	14	1	7	663676	3764012
Hoàng Thùy Linh	Gieo Quẻ	31	6	1	283351	3742274
Vũ.	Phút Ban Đầu	163	0	49	53519	3728623
NewJeans	Super Shy	21	0	12	346998	3727492
Dangrangto	MOIEM	15	0	46	327963	3724674
Jin	Yours	41	3	2	477000	3704263
JustaTee	Forget About Her	25	0	31	229069	3701940
Ed Sheeran	Shape of You	171	0	20	36516	3686513
BTS	ON	68	7	1	332742	3663795
Adele	Easy On Me	34	6	1	473784	3650143
Taylor Swift	Fortnight	13	3	2	868194	3629659
Đen	Mười Năm (Lộn Xộn 3)	125	0	17	46196	3616774
Ed Sheeran	Perfect	173	0	25	31836	3597185
AMEE	thay mọi cô gái yêu anh	35	1	6	236837	3568081
BAN	MD Anniversary	19	0	52	232861	3551976
Ronboogz	Khi Mà	25	0	147	205822	3502621
W/N	id thang máy	12	1	10	599202	3492652
Hà Nhi	Chưa Quên Người Yêu Cũ	43	0	36	167488	3482870
Miley Cyrus	Flowers	18	2	7	299054	3450105
Chillies	Qua Khung Cửa Sổ	44	2	4	204370	3443768
Trúc Nhân	Có Không Giữ Mất Đừng Tìm	29	4	5	259784	3440230
Tóc Tiên	Ngày Tận Thế	79	0	15	102974	3439536
Jung Kook	Still With You	16	3	3	677562	3431202
"ANH TRAI ""SAY HI"""	ĐẦU ĐỘI SỪNG	17	0	48	308446	3425109
Thịnh Suy	Mot Dem Say (X)	34	0	71	139557	3424228
SimonC	Lạc Vào Trong Mơ	43	0	56	136857	3422626
Maroon 5	Girls Like You	114	18	2	46474	3421161
HIEUTHUHAI	ngủ một mình	27	0	21	200562	3386123
Văn Mai Hương	Hương	34	3	7	185884	3366413
RAP VIỆT	Dân Chơi Xóm	34	6	3	275246	3365626
d4vd	Here With Me	34	0	70	137209	3364156
Tiên Tiên	Em Khong The	128	11	1	98723	3356472
Alan Walker	Lily	111	1	10	41216	3351810
LISA	Rockstar	9	2	8	821784	3316122
Bích Phương	Đi Đu Đưa Đi	67	9	5	96000	3314657
RM	LOST!	9	2	1	1550229	3302204
Rocky CDE	Việc Nên Làm	18	0	95	228851	3288763
V	Sweet Night	68	2	1	189261	3259608
The Weeknd	Save Your Tears	47	0	17	152997	3244522
Dab	overtired	34	0	126	153177	3240851
Ava Max	Sweet but Psycho	110	0	13	44305	3232325
Tăng Duy Tân	Say Sóng	15	0	59	309589	3225177
Taylor Swift	Lover	55	5	2	166762	3224379
Red Velvet	Psycho	64	9	1	205528	3219700
Lady Gaga	Always Remember Us This Way	109	2	3	102525	3216822
V	Slow Dancing (Piano Ver.)	12	3	7	562750	3215604
Halsey	Lilith	8	3	4	1111902	3201873
Double2T	À Lôi	17	0	19	276479	3187750
V	Blue	11	2	4	982650	3186212
Kendrick Lamar	luther	13	0	30	500913	3158986
GAYLE	abcdefu	31	1	10	142359	3147222
NewJeans	Attention	29	0	13	194479	3141528
Đen	Mang Tiền Về Cho Mẹ	34	4	3	386620	3134767
Hoang Dung	Nàng Thơ	19	16	2	206344	3134620
Alan Walker	On My Way	81	7	4	63761	3120685
Olivia Rodrigo	deja vu	61	0	40	109160	3118711
Amee	Tình Bạn Diệu Kỳ	26	5	2	314820	3102774
ROSÉ	two years	11	0	26	649340	3093822
Kina	Can We Kiss Forever?	61	0	14	67802	3088662
Khói	Là Do Em Xui Thôi	40	0	85	103284	3084944
MOPIUS	LÀN ƯU TIÊN	11	0	51	364302	3058060
thủy	girls like me don't cry	25	0	25	160647	3056486
T.R.I	Chúng Ta Sau Này	61	0	73	67895	3055293
RAP VIỆT	Baby Gọi Cho Anh	14	1	8	380466	3051108
Hoàng Thùy Linh	không một bài hát nào có thể diễn tả cảm xúc của em lúc này.	28	1	7	245154	3035667
BLACKPINK	Ice Cream	42	8	2	304673	3019568
PAR SG	Lý Do Nào Để Quay Lại Với Nhau	28	0	104	133816	3017900
NICKY	thật quá đáng.. để yêu	13	0	71	308995	3012506
V	For Us	11	2	5	801237	2998241
Billie Eilish	lovely	147	0	37	33953	2995295
AMEE	Shay Nắnggg	37	0	13	206182	2993408
"ANH TRAI ""SAY HI"""	WALK	14	0	41	321176	2986058
HIEUTHUHAI	Không Phải Gu	20	0	51	222562	2970902
Lil Nas X	MONTERO (Call Me By Your Name)	44	0	21	142797	2957649
BABYMONSTER	SHEESH	15	0	45	296478	2941134
Sia	Snowman	34	0	22	205560	2939338
Sơn Tùng M-TP	Một Năm Mới Bình An	16	0	19	581312	2929790
Trung Quân	Và Ngày Nào Đó	32	0	68	105857	2927358
Dua Lipa	Don't Start Now	63	5	3	108874	2911792
ROSÉ	3am	11	0	34	576294	2907661
RAP VIỆT	VỀ QUÊ	16	0	25	246754	2895584
Huỳnh Tú	Đường Một Chiều	67	0	114	145160	2886100
Pháo	Một Ngày Chẳng Nắng	20	0	46	201152	2875331
Bùi Anh Tuấn	Hẹn Một Mai	20	0	109	174790	2856101
ROSÉ	gameboy	11	0	35	574024	2850864
Lou Hoàng	Bắt Cóc Con Tim	24	4	9	224464	2850383
Low G	Càng Cua	26	0	66	139759	2849939
ROSÉ	stay a little longer	11	0	36	557369	2841058
buitruonglinh	Từng Ngày Yêu Em	7	0	19	606924	2837932
Olivia Rodrigo	good 4 u	49	0	19	137805	2836303
Jin	I'll Be There	3	2	5	1433598	2821049
Sam Smith	Unholy	27	0	38	151343	2817327
tlinh	NGÂN	11	0	42	390732	2815143
Jack - J97	Hoa Hải Đường	51	1	7	126072	2812940
AMEE	Em Bé	57	0	48	133343	2811427
Vũ.	Her Summer	85	4	3	112428	2787333
Orange	Em Hát Ai Nghe	48	0	32	87729	2786838
ROSÉ	dance all night	11	0	46	452271	2785474
Metro Boomin	Creepin'	27	0	53	127075	2783263
Maléna	Cheri Cheri Lady	21	0	32	227046	2781649
BTS	For Youth	14	4	3	1077497	2769912
Artist Page Redirect Cleanup 2023	Lời Đường Mật	44	0	29	99226	2763678
Mỹ Tâm	Đúng Cũng Thành Sai	59	0	15	110063	2763657
Post Malone	Sunflower - Spider-Man: Into the Spider-Verse	94	8	4	113046	2755108
RAP VIỆT	TUYẾT TRÊN PHỐ	13	0	69	278339	2734661
Binz	Gene	82	0	43	56602	2733258
Doja Cat	Paint The Town Red	16	0	24	299187	2728062
Agust D	Daechwita	22	3	1	554436	2716931
Trung Tu	Vừa Hận Vừa Yêu	11	0	24	382008	2715475
Wxrdie	Băng Qua Cầu Giấy	12	0	41	378885	2693304
Sia	Unstoppable	53	0	68	74936	2687844
Binz	So Close	86	0	55	44441	2685847
FIFTY FIFTY	Cupid	15	0	26	270598	2672661
Mariah Carey	All I Want for Christmas Is You	35	1	10	197932	2669032
Lil Van	Trương Đình Hoàng	10	0	39	416460	2668044
Charlie Puth	Light Switch	33	0	14	175740	2667964
BLACKPINK	Pretty Savage	45	3	2	411896	2641628
Sasha Alex Sloan	Dancing With Your Ghost	84	0	81	38654	2635550
Lukas Graham	Happy For You	33	4	1	327185	2628013
Tùng Dương	Tái Sinh	11	0	76	291826	2624414
Mỹ Tâm	Nguoi Hay Quen Em DI	101	19	1	97339	2624072
Doja Cat	Woman	50	0	43	81607	2619222
BLACKPINK	Tally	18	1	8	551125	2612754
ERIK	Đau Nhất Là Lặng Im	17	3	3	295145	2602486
Wxrdie	Mời Em	11	0	69	283176	2601511
Masked Wolf	Astronaut In The Ocean	31	0	18	146740	2600729
Phuc Du	đứa nào làm em buồn?	22	1	3	293810	2600591
Conan Gray	Heather	65	0	62	180923	2597934
ROSÉ	too bad for us	11	0	39	477061	2575078
SOOBIN	Đi Để Trở Về	19	0	45	352882	2574824
Kay Chau Anh	Think About U	13	0	102	251298	2562484
11:11 Music Group	Past Lives	50	0	73	72628	2558626
Zack Tabudlo	Pano	21	0	16	179599	2556477
Nguyên Hà	Nhắm Mắt Thấy Mùa Hè	84	0	71	43265	2552841
Thiều Bảo Trâm	Sau Lưng Anh Có Ai Kìa	26	2	5	216673	2545636
AMEE	yêu thì yêu không yêu thì yêu	42	2	7	124393	2544289
Phùng Khánh Linh	Hôm Nay Tôi Buồn	138	0	13	31844	2504703
Ariana Grande	Stuck with U	62	6	3	144945	2502500
Tia	Ai Đưa Em Về	81	0	69	61188	2500994
Thái Đinh	Đi Qua Mùa Hạ	89	0	95	45685	2500271
TRANG	Chưa Được Yêu Như Thế	15	0	61	239626	2496835
Nguyễn Minh Xuân Ái	Là Từ Lúc	17	0	97	188570	2495987
HIEUTHUHAI	Vệ Tinh	31	0	90	104519	2483767
Wren Evans	Quyền Anh	10	0	35	410135	2481942
j-hope	on the street	11	1	2	662260	2474656
Ed Sheeran	Shivers	37	1	10	134954	2461051
Nguyên Hà	Sau Nay, Hay Gap Lai Nhau Khi Hoa No	59	1	9	87875	2460023
Trúc Nhân	Người Ta Có Thương Mình Đâu	109	7	2	45521	2453327
SOOBIN	BLACKJACK	30	4	6	195835	2439008
Bùi Lan Hương	Ngày Chưa Giông Bão	100	0	12	55072	2434055
LISA	Moonlit Floor	8	0	34	437426	2430938
Trung Quân	Tình Nào Không Như Tình Đầu	43	1	10	113600	2425034
Bảo Anh	Từng Là Của Nhau	25	0	12	204511	2420762
W/N	id 2022	14	0	61	269936	2418939
BTS	The Planet	7	1	2	1016271	2413585
Ngọt	Thấy Chưa	29	0	43	137242	2411587
PSY	That That (prod. & feat. SUGA of BTS)	10	4	2	1008814	2411142
Thiều Bảo Trâm	Một Mình Có Buồn Không	28	2	7	167393	2403732
Juice WRLD	Girl Of My Dreams	21	3	1	498962	2402077
Wren Evans	Tình Yêu Vĩ Mô	10	0	36	405829	2396239
Ariana Grande	Santa Tell Me	31	0	14	168632	2396133
Dương Domic	Chập Chờn	12	0	93	253551	2393466
Dương Domic	Yêu Em 2 Ngày	14	0	123	215716	2391927
salem ilese	Mad at Disney	49	0	30	70248	2382911
"ANH TRAI ""SAY HI"""	BAO LỜI CON CHƯA NÓI	13	0	59	274641	2381098
Mỹ Tâm	Hẹn Ước Từ Hư Vô - Live	29	0	13	173349	2380351
Bích Phương	Bùa Yêu	111	19	1	90792	2358694
V	White Christmas	3	1	5	1716780	2352002
SUNI	Em Đã Biết	34	0	100	116688	2350654
Lauv	I Like Me Better	122	0	40	30703	2347342
Doja Cat	Agora Hills	17	0	82	180664	2342914
GIVĒON	Heartbreak Anniversary	46	0	39	102795	2340851
The Wind	Anh Muốn Nhìn Thấy Em	10	0	78	276313	2336525
T.R.I	một bài hát không vui mấy - Extended Version	7	0	36	423481	2317484
Obito	Tell the kids i love them	14	0	125	207708	2310131
MIN	Em Mới Là Người Yêu Anh	95	14	1	69970	2309328
Jack - J97	Đom Đóm	35	2	7	182021	2308163
Charlie Puth	Dangerously	22	0	87	143445	2305605
RAP VIỆT	Để Anh Một Mình	17	0	50	183099	2299459
Ed Sheeran	I Don't Care	60	7	2	92425	2292482
David Kushner	Daylight	22	0	111	124110	2287170
Ava Max	So Am I	85	0	21	32550	2285770
IVE	After LIKE	25	0	15	197020	2283528
Hồ Ngọc Hà	Cô Đơn Trên Sofa	22	0	58	132735	2277357
QNT	Querry	30	0	34	119703	2258024
LE SSERAFIM	Perfect Night	17	0	101	153910	2257225
RM	Come back to me	4	2	1	1288680	2251079
Vũ.	Cô ta	19	1	10	235390	2244727
Bebe Rexha	I'm a Mess	112	0	20	29237	2241688
Thịnh Suy	Tình Yêu Xanh Lá (juju)	32	0	17	121506	2234767
K-ICM	Lời Nói Dối Sau Nụ Cười	19	2	2	336755	2228885
ROSÉ	not the same	10	0	40	470660	2224753
BTS	Blue & Grey	46	1	5	241514	2218204
Bazzi	I.F.L.Y.	70	0	19	47765	2215344
ROSÉ	call it the end	10	0	47	445639	2213528
buitruonglinh	Vì Điều Gì	9	0	75	286428	2206432
Wxrdie	Nhạc Trap Căng Nhất 2023	17	0	116	150185	2204589
BLACKPINK	Don't Know What To Do	79	2	2	105529	2188068
UMI	wherever u r	5	1	6	1076639	2180338
tlinh	nữ siêu anh hùng	15	0	40	237576	2175684
Sam Smith	Dancing With A Stranger	85	8	5	38939	2173818
BTS	Born Singer	11	2	4	879045	2166867
Taylor Swift	ME!	63	5	4	70144	2163286
ZICO	SPOT!	8	0	11	446843	2151826
BTS	DNA	104	1	8	223231	2149189
Binz	Don't Break My Heart	18	2	6	281103	2149106
Dua Lipa	Levitating	45	0	54	83316	2144709
WHEE!	Bất Bình Thường	28	0	81	96029	2132666
JUUN D	So Rang Em Biet Anh Con Yeu Em	69	0	101	40761	2130608
IVE	LOVE DIVE	32	0	17	138062	2130223
Mỹ Tâm	Nơi Mình Dừng Chân (Nhạc Phim Chị Trợ Lý Của Anh)	66	0	62	38105	2115990
RM	Wild Flower	16	1	4	328725	2111194
Hoàng Tôn	Tình Yêu Ngủ Quên	39	0	57	76921	2099991
Noo Phước Thịnh	I'm Still Loving You	57	2	6	94591	2093232
Rhymastic	Freaky Squad	33	0	39	93749	2084587
Jonas Brothers	Sucker	67	5	5	51812	2084526
ERIK	Chạy Về Khóc Với Anh	25	0	12	175850	2080029
BTS	Film out	34	1	8	215308	2075087
Mỹ Tâm	Noi Minh Dung Chan (Nhac Phim Chi Tro Ly Cua Anh)	55	11	3	59846	2068720
Megan Thee Stallion	Neva Play	5	1	5	993862	2059535
Wren Evans	Lối Chơi (Interlude)	9	0	48	342256	2039087
Lady Gaga	Sour Candy	27	6	1	391575	2032224
RAP VIỆT	Rolling Down	9	1	6	408928	2029901
aespa	Whiplash	7	0	36	438344	2028337
Pháo	Kìa Bóng Dáng Ai	16	0	43	176398	2023651
Phương Mỹ Chi	Bóng Phù Hoa	12	0	37	235875	2020027
24kGoldn	Mood	55	0	66	54802	2015378
Orange	"Tự Sự - Original Soundtrack from ""Qua Bển Làm Chi"""	33	0	84	89361	2002989
Agust D	People, Pt. 2	2	2	1	1258341	2001684
FINNEAS	Let's Fall in Love for the Night	58	0	45	49729	2001170
The Weeknd	Save Your Tears (Remix)	37	0	107	82389	1996108
Surf Mesa	ily	54	0	21	66207	1979280
K-ICM	Chân Mây	13	4	3	257610	1978734
"ANH TRAI ""SAY HI"""	CỨ ĐỂ ANH TA RỜI ĐI	11	0	66	248911	1974777
Mỹ Tâm	Muon Mang La Tu Luc	101	6	7	44105	1974759
Marshmello	FRIENDS	117	10	2	60981	1968035
Ed Sheeran	Beautiful People	52	3	9	81181	1963877
Trung Quân	Tự Tình 2	22	0	27	157416	1940749
Noo Phước Thịnh	Em Đã Thương Người Ta Hơn Anh	31	0	15	105250	1937929
Karik	Có Chơi Có Chịu	18	0	11	233311	1926043
Taylor Swift	Anti-Hero	17	1	2	362601	1916336
BTS	Make It Right	59	4	2	196609	1905679
Camila Cabello	Havana	107	7	6	43177	1901982
Arizona Zervas	ROXANNE	43	0	22	61902	1901352
Thịnh Suy	Nghe Em	69	0	108	38814	1894989
Wxrdie	Trở Về	9	0	96	252413	1883479
AMEE	nàng thơ... trời giấu trời mang đi	30	0	14	137636	1875925
Imagine Dragons	Believer	120	0	64	36419	1875442
GPG msmy	YOU	19	0	54	156338	1873790
RAP VIỆT	QUA TỪNG KHUNG HÌNH	7	0	32	440525	1869772
Dan + Shay	10,000 Hours	44	2	2	111048	1866591
Sơn Tùng M-TP	Nắng Ấm Ngang Qua	23	0	46	126069	1866213
Đen	Đưa Nhau Đi Trốn (Chill Version)	74	0	81	37487	1865930
Wren Evans	ĐĐĐ	9	0	56	311533	1863742
WeChoice	Dám Rực Rỡ	8	0	50	321736	1862215
ZAYN	Dusk Till Dawn	134	0	59	28477	1860308
MANBO	CUA	42	0	29	163122	1859368
JVKE	Angel Pt. 2	5	1	3	1062452	1850935
imase	NIGHT DANCER	20	0	91	133136	1848198
Bảo Anh	cô ấy của anh ấy	12	0	23	282205	1845486
IU	eight(Prod.&Feat. SUGA of BTS)	35	5	1	206389	1844189
Binz	SO FAR	52	0	72	42416	1841364
Post Malone	Circles	45	2	8	79449	1840037
MONO	Đi Tìm Tình Yêu	9	0	61	261361	1836757
MYLINA	Giấc Mơ Của Em	13	0	53	181028	1836558
Tăng Phúc	Chỉ Là Không Cùng Nhau (Live Version)	23	0	24	138179	1835107
Jung Kook	Yes or No	8	0	13	537933	1829253
Jack - J97	Thiên Lý Ơi	10	0	53	260267	1818811
Doja Cat	Need To Know	40	0	29	90994	1815305
Cardi B	WAP	37	0	24	85505	1812175
SOOBIN	Anh Đã Quen Với Cô Đơn	21	0	95	192508	1811529
Doja Cat	Say So	38	6	6	84615	1810326
Wxrdie	Vinflow	16	0	142	144137	1807882
RPT MCK	Badtrip	14	0	25	258833	1807153
Wren Evans	Việt Kiều	10	0	57	275083	1803971
Ngô Kiến Huy	Truyen Thai Y	34	7	2	126403	1798259
Shawn Mendes	If I Can't Have You	60	4	5	63582	1797511
BTS	Telepathy	42	1	9	198737	1797321
RAP VIỆT	We Go Hard	14	0	64	156852	1796702
Winno	Muốn anh đau	12	0	106	179034	1788583
RAP VIỆT	Từ Chối Hiểu	10	0	21	290681	1777976
Hải Đăng Doo	Chuyện Chúng Ta Sau Này	8	0	59	321176	1774062
Billie Eilish	wish you were gay	69	2	7	44120	1772409
Low G	Chán Gái 707	23	0	76	125857	1772300
Dangrangto	GOODBYE ROCKY	11	0	119	170685	1770138
BLACKPINK	DDU-DU DDU-DU	80	2	1	94526	1767326
tlinh	DÂU TẰM	8	0	65	279292	1761743
Lauv	i'm so tired...	73	4	8	38773	1761621
Lady Gaga	Shallow	79	7	1	48874	1757211
BTS	My Time	39	2	6	238322	1752452
Hoàng Thùy Linh	Run After Two Hares, Catch None	39	3	5	134694	1750851
Ngọt	để quên	19	0	33	126036	1749424
K-ICM	Like This	15	2	3	203882	1742150
Bruno Mars	Talking to the Moon	35	0	42	93537	1740571
Post Malone	I Like You (A Happier Song)	20	0	14	165247	1739313
BTS	The Truth Untold	93	4	2	105285	1737385
Mỹ Tâm	Neu Anh Di	101	4	9	38446	1732358
The Sheep	Người Ta Thành Đôi Hết Rồi	26	0	104	78929	1729492
The Kid LAROI	TOO MUCH	3	1	6	1038600	1719287
Mer	tâm	13	0	141	153124	1712544
Justin Bieber	Love Yourself	123	0	79	30775	1711772
aespa	Drama	12	0	51	245082	1708574
Freaky	Gu - Cukak Remix	46	0	90	44908	1706404
BLACKPINK	As If It's Your Last	107	0	52	95370	1691058
BTS	HOME	58	3	3	196437	1684306
AMEE	Miền Mộng Mị	6	0	21	396046	1675621
Trevor Daniel	Falling	44	0	30	56861	1674455
AMEE	đen đá không đường	17	0	97	144703	1672754
Taylor Swift	You Need To Calm Down	44	5	2	122075	1672358
The Chainsmokers	Closer	120	0	72	23472	1670452
JayKii	Đừng Như Thói Quen	31	0	112	70581	1669243
Nguyên Hà	Nham Mat Thay Mua He OST - Original	84	0	48	38736	1668782
Justin Bieber	Yummy	29	6	6	116497	1665131
Sam Smith	Too Good At Goodbyes	107	0	29	28705	1663046
BTS	Stay	37	1	10	195987	1657266
Justin Bieber	Ghost	37	0	81	57852	1649635
SHAED	Trampoline	53	0	28	50940	1643627
Jung Kook	My You	5	2	4	577121	1632701
Clean Bandit	Symphony	121	0	75	22307	1625397
Bằng Kiều	Dẫu Có Lỗi Lầm	8	0	41	317012	1625080
Billie Eilish	everything i wanted	33	4	3	118716	1623498
Huyền Tâm Môn	Phố Đã Lên Đèn	36	0	86	58820	1618119
The Chainsmokers	Something Just Like This	119	0	69	21884	1616048
BTS	Intro : Persona	25	3	1	533288	1614815
BTS	Spring Day	74	1	7	322933	1613476
Anh Tú Atus	Nỗi Đau Đính Kèm	9	0	137	199219	1612317
Imagine Dragons	Bad Liar	63	0	13	46020	1611891
Renja	Phi Hành Gia	24	0	33	93816	1604832
BIGBANG	Still Life	10	3	2	464740	1604669
IVE	I AM	12	0	27	242112	1600697
Kai Đinh	điều vô tri nhất	9	0	81	215995	1589583
Cash Cash	Hero	40	0	94	48239	1588722
D Blue	Chỉ Còn Ta Và Ta Giữa Trời	16	0	151	147357	1586481
Lu	chẳng giống giáng sinh	15	0	65	233156	1583502
Wham!	Last Christmas	26	0	13	142900	1583225
Myra Trần	Tình Yêu Đến Sau	16	0	62	117047	1580449
Đen	Ai muốn nghe không	19	2	9	221243	1575866
Hoàng Yến Chibi	Yêu Thầm	17	0	14	171385	1566282
BTS	Fly To My Room	34	1	6	219842	1564536
Kha	Em Có Nghe	47	0	57	44801	1563719
Tiên Tiên	Cần Gì Hơn	35	1	3	116766	1562439
Olivia Rodrigo	vampire	10	0	13	341402	1560767
BLACKPINK	The Happiest Girl	8	1	4	721623	1553332
The Walters	I Love You So	34	0	122	124083	1546512
Ariana Grande	boyfriend	45	3	3	118702	1539449
Orinn	Chỉ Muốn Bên Em Lúc Này (Lofi Ver.)	41	0	118	50233	1535816
Selena Gomez	Back To You	93	5	6	34663	1530796
B Ray	Thiêu Thân	16	0	16	171246	1528683
ENHYPEN	Polaroid Love	23	0	29	112556	1526959
Wxrdie	Nu Cep	9	0	175	183604	1522801
RAP VIỆT	Người Miền Núi Chất	10	0	61	187179	1518298
RAP VIỆT	Anh Không Cố Ý	9	0	21	260481	1517669
Selena Gomez	Wolves	102	0	14	36794	1516950
Doja Cat	You Right	32	0	13	159258	1514397
TREASURE	DARARI	21	0	19	143020	1513873
Tommy Richman	MILLION DOLLAR BABY	10	0	84	190999	1511861
Chillies	Cảm Ơn Và Xin Lỗi	59	0	57	37727	1510786
BTS	We are Bulletproof : the Eternal	35	3	6	229412	1510199
"ANH TRAI ""SAY HI"""	CHÀNG KHỜ THUỶ CUNG	7	0	53	291815	1510144
NewJeans	Cookie	20	0	50	107857	1510019
Justin Bieber	Lonely	27	0	15	101375	1506947
Ed Sheeran	Photograph	107	0	47	22153	1505743
Trúc Nhân	Sáng Mắt Chưa	36	4	6	70677	1504341
BABYMONSTER	LIKE THAT	11	0	110	178359	1500289
Phong Max	Hoa Cỏ Lau	13	0	77	140617	1499766
The Weeknd	Starboy	15	0	140	147063	1496867
League of Legends	GODS	8	0	43	264959	1494551
SOOBIN	Nếu Ngày Ấy	9	0	152	194609	1492756
j-hope	NEURON	5	1	4	872664	1489914
Coldzy	FEVER	10	0	76	201277	1484904
LE SSERAFIM	ANTIFRAGILE	18	0	87	98321	1481751
14 Casper	Bao Tiền Một Mớ Bình Yên	45	0	144	43135	1479753
Meghan Trainor	Made You Look	13	0	21	184130	1476955
Shawn Mendes	Treat You Better	98	0	62	25724	1468896
HIEUTHUHAI	Xoay Một Vòng	11	0	152	140578	1454877
TAEYANG	VIBE	10	1	2	538258	1453174
Tuyên	Sài Gòn Tôi Mưa	12	0	98	139270	1448713
Dua Lipa	Break My Heart	25	1	2	113368	1444327
Vũ Cát Tường	If	76	2	4	35978	1443039
The Chainsmokers	Call You Mine	53	0	20	55705	1442751
Vang	Em Là Hoàng Hôn	35	0	83	55492	1441777
Lana Del Rey	Say Yes To Heaven	13	0	60	169788	1438613
RAP VIỆT	Giàu Vì Bạn, Sang Vì Vợ	20	3	7	144562	1426952
MIN	Em Moi La Nguoi Yeu Anh - Original	57	0	64	36944	1426736
Alan Walker	All Falls Down	85	8	3	57830	1424941
Fujii Kaze	死ぬのがいいわ	12	0	29	176477	1424585
Marshmello	Happier	81	2	7	22487	1422704
Đạt G	Thêm Bao Nhiêu Lâu	10	0	106	176243	1418108
Wren Evans	Màu Đỏ (Interlude)	12	0	114	172374	1417375
1 9 6 7	Đường Tôi Chở Em Về - Lofi	34	0	62	58917	1414871
tlinh	kho báu đánh rơi	9	0	28	270085	1414783
BTS	Friends	29	2	4	257109	1413625
Hà Anh Tuấn	Tháng 4 Là Lời Nói Dối Của Em	36	0	61	70549	1410848
Hứa Kim Tuyền	anh sẽ đến cùng cơn mưa	16	0	68	118832	1410715
Jawsh 685	Savage Love (Laxed – Siren Beat) [BTS Remix]	26	0	11	168972	1407440
Sabrina Carpenter	Nonsense	16	0	88	129985	1403352
Zedd	The Middle	87	10	2	57444	1403185
Hoàng Tôn	Yêu Em Rất Nhiều	26	0	76	81076	1402311
Colde	Don't ever say love me	6	1	7	552193	1401422
Sơn Tùng M-TP	CHẠY NGAY ĐI	60	8	1	114670	1400025
BTS	Dis-ease	32	0	11	190225	1399746
HIEUTHUHAI	Mamma Mia	11	0	118	145127	1399496
Văn Mai Hương	Đại Minh Tinh	8	0	36	254995	1397492
BLACKPINK	Love To Hate Me	24	2	5	345011	1397221
The Chainsmokers	Takeaway	47	0	13	53525	1396934
AMEE	sao anh chưa về nhà	47	0	78	37637	1393404
Chris Brown	Under The Influence	22	0	100	72093	1390691
Trúc Nhân	Lớn Rồi Còn Khóc Nhè	49	0	15	51943	1387906
Sam Smith	How Do You Sleep?	34	3	7	79796	1380171
AMEE	2000 câu hỏi vì sao	6	0	22	389688	1378433
Chillies	Em Đừng Khóc	11	3	3	267615	1377282
Tóc Tiên	Em Đã Có Người Mới	18	0	14	134066	1368566
Charlie Puth	That's Hilarious	16	0	18	145702	1367700
Chase Atlantic	Swim	7	0	103	246501	1364404
Đen	Đi Theo Bóng Mặt Trời	68	0	80	30682	1363590
Noo Phước Thịnh	Nhung Ke Mong Mo	70	4	7	31850	1362223
BLACKPINK	Bet You Wanna	16	3	2	408622	1355496
(G)I-DLE	TOMBOY	22	0	27	127343	1354624
Dương Edward	Rung Động	25	0	98	61574	1352815
Justin Bieber	Hold On	18	0	17	144011	1345467
Connor Price	Violet	11	0	25	268117	1344357
PhucXp	Chẳng Thể Tìm Được Em	30	0	57	62058	1343253
Maroon 5	Beautiful Mistakes	19	0	30	111619	1343098
YOASOBI	アイドル	13	0	67	153061	1341181
Agust D	AMYGDALA	7	0	18	304717	1331683
buitruonglinh	Dù Cho Mai Về Sau (Acoustic Version)	23	0	59	76137	1331326
T.R.I	một bài hát không vui mấy	7	0	111	233527	1331020
Flo D	#AiChoAi	26	0	62	70751	1330036
Selena Gomez	Lose You To Love Me	35	1	10	103832	1324614
Gracie Abrams	That’s So True	7	0	109	232900	1319725
JISOO	All Eyes On Me	7	1	7	515673	1316816
Low G	pho real	4	0	11	528504	1313614
Vũ.	Mùa Mưa Ấy	7	0	79	253633	1307216
Đạt G	Kho Ve Nu Cuoi	51	0	59	34901	1305767
RAP VIỆT	Tiền Nhiều Để Làm Gì	22	2	8	130240	1301669
Mai Tiến Dũng	Người Như Anh	17	0	85	93949	1300723
Binz	They Said	66	0	80	35000	1298986
Low G	Fashion Tán Gái	12	0	53	134735	1290668
yung kai	blue	7	0	110	234328	1289071
thủy	girls like me don't cry (remix) ft. MIN	11	0	61	171231	1288644
Sam Kim	Love Me Like That	25	0	41	79190	1279495
starfall	intentions	7	0	67	248248	1278792
Jin	Super Tuna	7	1	5	404829	1277932
Billie Eilish	when the party's over	74	0	28	26880	1276282
Olivia Rodrigo	happier	23	0	34	99615	1273902
Osad	Yêu Sắc Yếu	24	0	88	68866	1272427
James Arthur	Say You Won't Let Go	101	0	54	20083	1272025
Rhymastic	Nắng Lên	10	0	37	271849	1251952
Lauv	Who	30	3	1	181709	1246161
Tiên Tiên	Say You Do	24	0	38	72850	1245632
Đức Phúc	Nguoi Oi Nguoi O Dung Ve	24	0	26	88350	1242185
